run_id,combo_id,split_id,threshold,val_strategy,val_params,seed,model_key,model_class,model_params,imputer,scaler,pca,pca_params,resampling,resampling_params,n_train,n_test,pos_rate_test,roc_auc,pr_auc,brier,mcc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
20260129_180728,1,kfold_5_seed478163327_01,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.873015873015873,0.6796703296703298,0.14513983837451339,0.48795003647426655,0.8,0.6984126984126984,0.8,0.4444444444444444,0.5714285714285714,20,1,5,4
20260129_180728,1,kfold_5_seed478163327_02,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.947089947089947,0.9093915343915346,0.09280806508158039,0.7637626158259733,0.9,0.8333333333333333,1.0,0.6666666666666666,0.8,21,0,3,6
20260129_180728,1,kfold_5_seed478163327_03,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.26666666666666666,0.7670454545454545,0.568934132996633,0.1759570930316691,0.47968744354753823,0.7666666666666667,0.7613636363636364,0.5454545454545454,0.75,0.631578947368421,17,5,2,6
20260129_180728,1,kfold_5_seed478163327_04,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},119,29,0.27586206896551724,0.8333333333333334,0.6594020562770563,0.15786108606777235,0.3730235484764954,0.7586206896551724,0.6785714285714286,0.5714285714285714,0.5,0.5333333333333333,18,3,4,4
20260129_180728,1,kfold_5_seed478163327_05,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},119,29,0.27586206896551724,0.6190476190476191,0.5490428955102868,0.2208143271064808,0.33101874976866896,0.7586206896551724,0.6398809523809523,0.6,0.375,0.46153846153846156,19,2,5,3
20260129_180728,2,kfold_5_seed1122456590_01,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8095238095238095,0.724920634920635,0.16443627326870242,0.4629100498862757,0.7666666666666667,0.7380952380952381,0.6,0.6666666666666666,0.631578947368421,17,4,3,6
20260129_180728,2,kfold_5_seed1122456590_02,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.3,0.8148148148148149,0.6735978835978835,0.15320372272633367,0.5921565254637922,0.8333333333333334,0.7857142857142857,0.75,0.6666666666666666,0.7058823529411765,19,2,3,6
20260129_180728,2,kfold_5_seed1122456590_03,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},118,30,0.26666666666666666,0.7045454545454546,0.5616258741258742,0.18788810960401023,0.07537783614444091,0.6666666666666666,0.5340909090909092,0.3333333333333333,0.25,0.2857142857142857,18,4,6,2
20260129_180728,2,kfold_5_seed1122456590_04,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},119,29,0.27586206896551724,0.7619047619047619,0.5990277777777777,0.168182545646449,0.4243342123957528,0.7931034482758621,0.6636904761904762,0.75,0.375,0.5,20,1,5,3
20260129_180728,2,kfold_5_seed1122456590_05,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},119,29,0.27586206896551724,0.9047619047619048,0.6912698412698413,0.11491577176468733,0.4243342123957528,0.7931034482758621,0.6636904761904762,0.75,0.375,0.5,20,1,5,3
