run_id,combo_id,split_id,threshold,val_strategy,val_params,seed,model_key,model_class,model_params,imputer,scaler,pca,pca_params,resampling,resampling_params,n_train,n_test,pos_rate_test,roc_auc,pr_auc,brier,mcc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
20260129_180728,1,kfold_5_seed478163327_01,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.855072463768116,0.6947107902990255,0.1519909342654768,0.2757127976394358,0.75,0.5893719806763285,0.6666666666666666,0.2222222222222222,0.3333333333333333,22,1,7,2
20260129_180728,1,kfold_5_seed478163327_02,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8695652173913043,0.8506443079023723,0.11097407516998425,0.6908212560386473,0.875,0.8454106280193237,0.7777777777777778,0.7777777777777778,0.7777777777777778,21,2,2,7
20260129_180728,1,kfold_5_seed478163327_03,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8502415458937198,0.5624398749398749,0.15592893355720738,0.47797332354820327,0.78125,0.7463768115942029,0.6,0.6666666666666666,0.631578947368421,19,4,3,6
20260129_180728,1,kfold_5_seed478163327_04,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8309178743961352,0.7428451178451178,0.1390519362759604,0.39405520311955033,0.78125,0.644927536231884,0.75,0.3333333333333333,0.46153846153846156,22,1,6,3
20260129_180728,1,kfold_5_seed478163327_05,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",478163327,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.25,0.609375,0.4466267188693659,0.20066784492039977,0.2182178902359924,0.75,0.5833333333333333,0.5,0.25,0.3333333333333333,22,2,6,2
20260129_180728,2,kfold_5_seed1122456590_01,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.7439613526570048,0.6133487654320987,0.16848669837130628,0.2757127976394358,0.75,0.5893719806763285,0.6666666666666666,0.2222222222222222,0.3333333333333333,22,1,7,2
20260129_180728,2,kfold_5_seed1122456590_02,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.961352657004831,0.9216200466200466,0.09596188820453833,0.6042179781166439,0.84375,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154,23,0,5,4
20260129_180728,2,kfold_5_seed1122456590_03,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8357487922705314,0.7907407407407407,0.13315611538658564,0.5096447293679518,0.8125,0.7342995169082125,0.7142857142857143,0.5555555555555556,0.625,21,2,4,5
20260129_180728,2,kfold_5_seed1122456590_04,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.7777777777777779,0.47789001122334457,0.1900337479806548,0.38164251207729466,0.75,0.6908212560386473,0.5555555555555556,0.5555555555555556,0.5555555555555556,19,4,4,5
20260129_180728,2,kfold_5_seed1122456590_05,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1122456590,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.25,0.78125,0.5964990601503759,0.1525837160744791,0.3478327964999673,0.78125,0.6458333333333333,0.6,0.375,0.46153846153846156,22,2,5,3
20260129_180728,3,kfold_5_seed198888238_01,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",198888238,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8019323671497585,0.6528573822691469,0.14780653976884311,0.4127594582445936,0.78125,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,23,0,7,2
20260129_180728,3,kfold_5_seed198888238_02,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",198888238,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.821256038647343,0.754215736473801,0.1334290287281129,0.5096447293679518,0.8125,0.7342995169082125,0.7142857142857143,0.5555555555555556,0.625,21,2,4,5
20260129_180728,3,kfold_5_seed198888238_03,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",198888238,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.7632850241545893,0.5492470492470491,0.1745793154409899,0.30508307783296046,0.75,0.6231884057971014,0.6,0.3333333333333333,0.42857142857142855,21,2,6,3
20260129_180728,3,kfold_5_seed198888238_04,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",198888238,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.9227053140096617,0.8042648709315376,0.10585672094373064,0.6908212560386473,0.875,0.8454106280193237,0.7777777777777778,0.7777777777777778,0.7777777777777778,21,2,2,7
20260129_180728,3,kfold_5_seed198888238_05,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",198888238,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.25,0.8177083333333334,0.5593292124542124,0.15527362125678879,0.3927922024247863,0.78125,0.6875,0.5714285714285714,0.5,0.5333333333333333,21,3,4,4
20260129_180728,4,kfold_5_seed1648070629_01,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1648070629,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8550724637681159,0.7790123456790123,0.12329139000275385,0.589872830909857,0.84375,0.7560386473429952,0.8333333333333334,0.5555555555555556,0.6666666666666666,22,1,4,5
20260129_180728,4,kfold_5_seed1648070629_02,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1648070629,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.7971014492753623,0.6231481481481481,0.16646000381500664,0.34151450937027694,0.75,0.6570048309178744,0.5714285714285714,0.4444444444444444,0.5,20,3,5,4
20260129_180728,4,kfold_5_seed1648070629_03,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1648070629,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.6618357487922705,0.4644415647705121,0.21642075847330966,0.41179801403140964,0.78125,0.6787439613526569,0.6666666666666666,0.4444444444444444,0.5333333333333333,21,2,5,4
20260129_180728,4,kfold_5_seed1648070629_04,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1648070629,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.28125,0.8888888888888888,0.7132275132275132,0.12377127693103514,0.6019292654288461,0.84375,0.7898550724637681,0.75,0.6666666666666666,0.7058823529411765,21,2,3,6
20260129_180728,4,kfold_5_seed1648070629_05,0.5,kfold,"{""n_splits"": 5, ""shuffle"": true}",1648070629,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},128,32,0.25,0.8697916666666666,0.8172949735449736,0.11103535040677745,0.4622501635210242,0.8125,0.7083333333333333,0.6666666666666666,0.5,0.5714285714285714,22,2,4,4
