run_id,combo_id,split_id,threshold,val_strategy,val_params,seed,model_key,model_class,model_params,imputer,scaler,pca,pca_params,resampling,resampling_params,n_train,n_test,pos_rate_test,roc_auc,pr_auc,brier,mcc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
20260129_180728,1,loo_0001,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.011541276480827346,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0002,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.031198220207193643,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0003,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.31287939518905805,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0004,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.022698803025248866,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0005,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.22036451010865687,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0006,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.2488565167234985,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0007,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.3078077554679872,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0008,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.3784608448358957,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0009,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.1856369839776339,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0010,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.3211641085611071,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0011,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.6313590281317664,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0012,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.15410762650931434,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0013,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.26209511802524244,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0014,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.08951175765283328,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0015,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.21469326241476275,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0016,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.9476934898931696,,0.0,0.0,0.0,0.0,0.0,0,0,1,0
20260129_180728,1,loo_0017,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.1014295865438584,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0018,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,0.18286849303808844,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
20260129_180728,1,loo_0019,0.5,loo,{},,LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},147,1,1.0,,,6.159673630031691e-05,,1.0,1.0,1.0,1.0,1.0,0,0,0,1
