model_key,model_class,model_params,imputer,scaler,pca,pca_params,resampling,resampling_params,val_strategy,val_params,threshold,roc_auc__mean,roc_auc__std,roc_auc__median,pr_auc__mean,pr_auc__std,pr_auc__median,brier__mean,brier__std,brier__median,mcc__mean,mcc__std,mcc__median,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__median,f1__mean,f1__std,f1__median
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},none,{},loo,{},0.5,,,,,,,0.14821829543492226,0.23441709517666204,0.02275239657401082,,,,0.8108108108108109,0.3929887459459297,1.0,0.14864864864864866,0.35694975474585683,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.1590790380254696,0.24880232449904519,0.0319776036936381,,,,0.7635135135135135,0.42636713263211534,1.0,0.20270270270270271,0.4033779048761913,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.16164843877096913,0.24705790042184264,0.030696815888519247,,,,0.7432432432432432,0.4383273963792598,1.0,0.20945945945945946,0.4083045811625745,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.15577509136972428,0.2440509077629868,0.03486023216956611,,,,0.7635135135135135,0.4263671326321153,1.0,0.20270270270270271,0.4033779048761913,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.16302693235926471,0.2506296776392318,0.029790166844444268,,,,0.75,0.4344830378784442,1.0,0.21621621621621623,0.4130612535581469,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 0.75, ""smote_k_neighbors"": 3}",loo,{},0.5,,,,,,,0.22650409075127415,0.38690431507103556,2.2047768024707475e-05,,,,0.7364864864864865,0.4420343583544187,1.0,0.21621621621621623,0.413061253558147,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 0.75, ""smote_k_neighbors"": 5}",loo,{},0.5,,,,,,,0.24875292851111258,0.4021188507119526,4.274781599427552e-05,,,,0.7297297297297297,0.44560735278003116,1.0,0.21621621621621623,0.413061253558147,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 3}",loo,{},0.5,,,,,,,0.2331084825032838,0.39789122853182446,0.00013164996293527648,,,,0.75,0.4344830378784442,1.0,0.24324324324324326,0.4304976020005051,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 5}",loo,{},0.5,,,,,,,0.24746679681986128,0.4014292390729731,0.00023667651707941326,,,,0.7297297297297297,0.44560735278003116,1.0,0.22972972972972974,0.422087371981585,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.16333565286253088,0.24099910401374586,0.041589946733333924,,,,0.7635135135135135,0.42636713263211545,1.0,0.19594594594594594,0.3982749158846295,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,none,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.17888647120819506,0.2565019294153183,0.050534393595087886,,,,0.75,0.4344830378784444,1.0,0.22297297297297297,0.417653730643404,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},none,{},loo,{},0.5,,,,,,,0.15158608340200339,0.17110580763616248,0.07835002509437855,,,,0.8175675675675675,0.3875118986483422,1.0,0.16216216216216217,0.3698511201491289,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.16051099989990106,0.19351855491340145,0.08472408594219746,,,,0.7702702702702703,0.4220873719815852,1.0,0.21621621621621623,0.4130612535581468,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 3, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.16554461256958933,0.20732557054516768,0.08052179663758438,,,,0.7567567567567568,0.4304976020005051,1.0,0.23648648648648649,0.42636713263211523,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.15973133419681224,0.19340751799095157,0.08628981768826748,,,,0.7567567567567568,0.4304976020005052,1.0,0.20270270270270271,0.40337790487619135,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smote,"{""k_neighbors"": 5, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.16534378294252358,0.20592741626961658,0.08407382160320177,,,,0.7567567567567568,0.4304976020005052,1.0,0.22297297297297297,0.4176537306434038,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 3}",loo,{},0.5,,,,,,,0.1873596950231126,0.24168114521954975,0.07508302538568837,,,,0.7297297297297297,0.44560735278003116,1.0,0.25,0.4344830378784442,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},smoteenn,"{""sampling_strategy"": 1.0, ""smote_k_neighbors"": 5}",loo,{},0.5,,,,,,,0.18531688687480363,0.23873668639505635,0.06929438708099189,,,,0.7364864864864865,0.4420343583544186,1.0,0.25,0.4344830378784442,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 0.75}",loo,{},0.5,,,,,,,0.16734358640464383,0.16424288538114806,0.11551583487944214,,,,0.7567567567567568,0.43049760200050524,1.0,0.21621621621621623,0.413061253558147,0.0
LogisticRegression,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2""}",none,standard,off,{},undersample,"{""replacement"": false, ""sampling_strategy"": 1.0}",loo,{},0.5,,,,,,,0.18223418682056286,0.1733934783012238,0.13068039464558023,,,,0.7432432432432432,0.4383273963792597,1.0,0.23648648648648649,0.4263671326321152,0.0
